Num Etudiant,Type,Question,Attendue,Réponse,Temps,Erreur,Difficulté,Annotation
50,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,11,56,Mauvaise lecture de la question,Facile,"Bonne reponse, continue comme ca !"
51,Addition, 5 + 9 = ?,14,14,58,Erreur dans le calcul,Moyen,"Bonne reponse, continue comme ca !"
51,Soustraction, 7 - 3 =?,4,12,46,Mauvaise lecture de la question,Facile,"Bonne reponse, continue comme ca !"
51,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,7,48,Erreur dans le calcul,Facile,"Bonne reponse, continue comme ca !"
52,Addition, 5 + 9 = ?,14,8,40,Confusion entre l'addition et la soustraction,Difficile,"Bonne reponse, continue comme ca !"
52,Soustraction, 7 - 3 =?,4,9,58,Mauvaise lecture de la question,Moyen,"Bonne reponse, continue comme ca !"
52,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,7,42,Erreur dans le calcul,Difficile,"Bonne reponse, continue comme ca !"
53,Addition, 5 + 9 = ?,14,13,39,Mauvaise lecture de la question,Facile,"Bonne reponse, continue comme ca !"
53,Soustraction, 7 - 3 =?,4,9,46,Mauvaise lecture de la question,Difficile,"Bonne reponse, continue comme ca !"
53,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,15,56,Erreur dans le calcul,Moyen,"Bonne reponse, continue comme ca !"
54,Addition, 5 + 9 = ?,14,6,34,Mauvaise lecture de la question,Facile,"Bonne reponse, continue comme ca !"
54,Soustraction, 7 - 3 =?,4,13,57,Confusion entre l'addition et la soustraction,Moyen,"Bonne reponse, continue comme ca !"
54,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,15,59,Confusion entre l'addition et la soustraction,Moyen,"Bonne reponse, continue comme ca !"
55,Addition, 5 + 9 = ?,14,8,46,Confusion entre l'addition et la soustraction,Difficile,"Bonne reponse, continue comme ca !"
55,Soustraction, 7 - 3 =?,4,4,35,Mauvaise lecture de la question,Facile,"Bonne reponse, continue comme ca !"
55,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,3,30,Confusion entre l'addition et la soustraction,Difficile,"Bonne reponse, continue comme ca !"
56,Addition, 5 + 9 = ?,14,2,40,Mauvaise lecture de la question,Difficile,"Bonne reponse, continue comme ca !"
56,Soustraction, 7 - 3 =?,4,6,54,Confusion entre l'addition et la soustraction,Facile,"Bonne reponse, continue comme ca !"
56,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,10,30,Confusion entre l'addition et la soustraction,Facile,"Bonne reponse, continue comme ca !"
57,Addition, 5 + 9 = ?,14,11,47,Erreur dans le calcul,Facile,"Bonne reponse, continue comme ca !"
57,Soustraction, 7 - 3 =?,4,6,56,Mauvaise lecture de la question,Difficile,"Bonne reponse, continue comme ca !"
57,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,14,31,Erreur dans le calcul,Difficile,"Bonne reponse, continue comme ca !"
58,Addition, 5 + 9 = ?,14,6,54,Mauvaise lecture de la question,Difficile,"Bonne reponse, continue comme ca !"
58,Soustraction, 7 - 3 =?,4,13,35,Erreur dans le calcul,Moyen,"Bonne reponse, continue comme ca !"
58,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,4,52,Erreur dans le calcul,Moyen,"Bonne reponse, continue comme ca !"
59,Addition, 5 + 9 = ?,14,4,50,Confusion entre l'addition et la soustraction,Facile,"Bonne reponse, continue comme ca !"
59,Soustraction, 7 - 3 =?,4,5,36,Erreur dans le calcul,Moyen,"Bonne reponse, continue comme ca !"
59,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,9,57,Confusion entre l'addition et la soustraction,Moyen,"Bonne reponse, continue comme ca !"
60,Addition, 5 + 9 = ?,14,14,59,Mauvaise lecture de la question,Moyen,"Bonne reponse, continue comme ca !"
60,Soustraction, 7 - 3 =?,4,15,59,Confusion entre l'addition et la soustraction,Facile,"Bonne reponse, continue comme ca !"
60,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,6,52,Mauvaise lecture de la question,Moyen,"Bonne reponse, continue comme ca !"
61,Addition, 5 + 9 = ?,14,15,32,Mauvaise lecture de la question,Moyen,"Bonne reponse, continue comme ca !"
61,Soustraction, 7 - 3 =?,4,1,35,Mauvaise lecture de la question,Difficile,"Bonne reponse, continue comme ca !"
61,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,6,57,Confusion entre l'addition et la soustraction,Moyen,"Bonne reponse, continue comme ca !"
62,Addition, 5 + 9 = ?,14,15,30,Confusion entre l'addition et la soustraction,Facile,"Bonne reponse, continue comme ca !"
62,Soustraction, 7 - 3 =?,4,11,48,Erreur dans le calcul,Moyen,"Bonne reponse, continue comme ca !"
62,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,2,54,Erreur dans le calcul,Moyen,"Bonne reponse, continue comme ca !"
63,Addition, 5 + 9 = ?,14,9,50,Mauvaise lecture de la question,Difficile,"Bonne reponse, continue comme ca !"
63,Soustraction, 7 - 3 =?,4,6,37,Erreur dans le calcul,Facile,"Bonne reponse, continue comme ca !"
63,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,12,38,Confusion entre l'addition et la soustraction,Facile,"Bonne reponse, continue comme ca !"
64,Addition, 5 + 9 = ?,14,2,55,Mauvaise lecture de la question,Difficile,"Bonne reponse, continue comme ca !"
64,Soustraction, 7 - 3 =?,4,11,47,Confusion entre l'addition et la soustraction,Difficile,"Bonne reponse, continue comme ca !"
64,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,7,34,Confusion entre l'addition et la soustraction,Difficile,"Bonne reponse, continue comme ca !"
65,Addition, 5 + 9 = ?,14,1,49,Erreur dans le calcul,Facile,"Bonne reponse, continue comme ca !"
65,Soustraction, 7 - 3 =?,4,15,56,Confusion entre l'addition et la soustraction,Moyen,"Bonne reponse, continue comme ca !"
65,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,8,42,Mauvaise lecture de la question,Difficile,"Bonne reponse, continue comme ca !"
66,Addition, 5 + 9 = ?,14,1,35,Erreur dans le calcul,Difficile,"Bonne reponse, continue comme ca !"
66,Soustraction, 7 - 3 =?,4,9,49,Mauvaise lecture de la question,Moyen,"Bonne reponse, continue comme ca !"
66,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,9,39,Erreur dans le calcul,Facile,"Bonne reponse, continue comme ca !"
67,Addition, 5 + 9 = ?,14,10,33,Mauvaise lecture de la question,Difficile,"Bonne reponse, continue comme ca !"
67,Soustraction, 7 - 3 =?,4,15,37,Erreur dans le calcul,Moyen,"Bonne reponse, continue comme ca !"
67,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,8,52,Mauvaise lecture de la question,Moyen,"Bonne reponse, continue comme ca !"
68,Addition, 5 + 9 = ?,14,5,48,Mauvaise lecture de la question,Difficile,"Bonne reponse, continue comme ca !"
68,Soustraction, 7 - 3 =?,4,13,50,Erreur dans le calcul,Moyen,"Bonne reponse, continue comme ca !"
68,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,12,55,Erreur dans le calcul,Facile,"Bonne reponse, continue comme ca !"
69,Addition, 5 + 9 = ?,14,15,35,Confusion entre l'addition et la soustraction,Facile,"Bonne reponse, continue comme ca !"
69,Soustraction, 7 - 3 =?,4,9,43,Confusion entre l'addition et la soustraction,Difficile,"Bonne reponse, continue comme ca !"
69,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,13,58,Confusion entre l'addition et la soustraction,Moyen,"Bonne reponse, continue comme ca !"
70,Addition, 5 + 9 = ?,14,11,53,Confusion entre l'addition et la soustraction,Facile,"Bonne reponse, continue comme ca !"
70,Soustraction, 7 - 3 =?,4,5,55,Mauvaise lecture de la question,Moyen,"Bonne reponse, continue comme ca !"
70,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,1,50,Mauvaise lecture de la question,Difficile,"Bonne reponse, continue comme ca !"
71,Addition, 5 + 9 = ?,14,8,49,Erreur dans le calcul,Moyen,"Bonne reponse, continue comme ca !"
71,Soustraction, 7 - 3 =?,4,5,39,Confusion entre l'addition et la soustraction,Difficile,"Bonne reponse, continue comme ca !"
71,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,8,41,Erreur dans le calcul,Facile,"Bonne reponse, continue comme ca !"
72,Addition, 5 + 9 = ?,14,12,30,Mauvaise lecture de la question,Moyen,"Bonne reponse, continue comme ca !"
72,Soustraction, 7 - 3 =?,4,5,58,Mauvaise lecture de la question,Difficile,"Bonne reponse, continue comme ca !"
72,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,8,44,Erreur dans le calcul,Moyen,"Bonne reponse, continue comme ca !"
73,Addition, 5 + 9 = ?,14,11,50,Erreur dans le calcul,Difficile,"Bonne reponse, continue comme ca !"
73,Soustraction, 7 - 3 =?,4,10,44,Erreur dans le calcul,Facile,"Bonne reponse, continue comme ca !"
73,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,1,60,Erreur dans le calcul,Facile,"Bonne reponse, continue comme ca !"
74,Addition, 5 + 9 = ?,14,9,53,Erreur dans le calcul,Facile,"Bonne reponse, continue comme ca !"
74,Soustraction, 7 - 3 =?,4,1,56,Confusion entre l'addition et la soustraction,Facile,"Bonne reponse, continue comme ca !"
74,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,13,40,Erreur dans le calcul,Facile,"Bonne reponse, continue comme ca !"
75,Addition, 5 + 9 = ?,14,2,34,Confusion entre l'addition et la soustraction,Difficile,"Bonne reponse, continue comme ca !"
75,Soustraction, 7 - 3 =?,4,5,58,Confusion entre l'addition et la soustraction,Facile,"Bonne reponse, continue comme ca !"
75,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,5,42,Erreur dans le calcul,Facile,"Bonne reponse, continue comme ca !"
76,Addition, 5 + 9 = ?,14,8,59,Erreur dans le calcul,Facile,"Bonne reponse, continue comme ca !"
76,Soustraction, 7 - 3 =?,4,14,31,Erreur dans le calcul,Facile,"Bonne reponse, continue comme ca !"
76,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,11,60,Mauvaise lecture de la question,Difficile,"Bonne reponse, continue comme ca !"
77,Addition, 5 + 9 = ?,14,4,56,Erreur dans le calcul,Facile,"Bonne reponse, continue comme ca !"
77,Soustraction, 7 - 3 =?,4,5,40,Confusion entre l'addition et la soustraction,Moyen,"Bonne reponse, continue comme ca !"
77,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,9,38,Erreur dans le calcul,Moyen,"Bonne reponse, continue comme ca !"
78,Addition, 5 + 9 = ?,14,14,43,Erreur dans le calcul,Facile,"Bonne reponse, continue comme ca !"
78,Soustraction, 7 - 3 =?,4,2,37,Erreur dans le calcul,Difficile,"Bonne reponse, continue comme ca !"
78,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,4,44,Confusion entre l'addition et la soustraction,Facile,"Bonne reponse, continue comme ca !"
79,Addition, 5 + 9 = ?,14,14,37,Erreur dans le calcul,Facile,"Bonne reponse, continue comme ca !"
79,Soustraction, 7 - 3 =?,4,2,45,Mauvaise lecture de la question,Moyen,"Bonne reponse, continue comme ca !"
79,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,11,60,Confusion entre l'addition et la soustraction,Facile,"Bonne reponse, continue comme ca !"
80,Addition, 5 + 9 = ?,14,7,34,Erreur dans le calcul,Moyen,"Bonne reponse, continue comme ca !"
80,Soustraction, 7 - 3 =?,4,4,31,Erreur dans le calcul,Difficile,"Bonne reponse, continue comme ca !"
80,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,4,41,Erreur dans le calcul,Moyen,"Bonne reponse, continue comme ca !"
81,Addition, 5 + 9 = ?,14,8,38,Mauvaise lecture de la question,Facile,"Bonne reponse, continue comme ca !"
81,Soustraction, 7 - 3 =?,4,11,57,Mauvaise lecture de la question,Facile,"Bonne reponse, continue comme ca !"
81,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,7,50,Confusion entre l'addition et la soustraction,Difficile,"Bonne reponse, continue comme ca !"
82,Addition, 5 + 9 = ?,14,7,45,Erreur dans le calcul,Moyen,"Bonne reponse, continue comme ca !"
82,Soustraction, 7 - 3 =?,4,9,48,Erreur dans le calcul,Moyen,"Bonne reponse, continue comme ca !"
82,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,5,54,Confusion entre l'addition et la soustraction,Difficile,"Bonne reponse, continue comme ca !"
83,Addition, 5 + 9 = ?,14,9,50,Confusion entre l'addition et la soustraction,Moyen,"Bonne reponse, continue comme ca !"
83,Soustraction, 7 - 3 =?,4,4,55,Erreur dans le calcul,Moyen,"Bonne reponse, continue comme ca !"
83,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,8,41,Confusion entre l'addition et la soustraction,Moyen,"Bonne reponse, continue comme ca !"
84,Addition, 5 + 9 = ?,14,4,57,Mauvaise lecture de la question,Moyen,"Bonne reponse, continue comme ca !"
84,Soustraction, 7 - 3 =?,4,13,43,Confusion entre l'addition et la soustraction,Difficile,"Bonne reponse, continue comme ca !"
84,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,7,51,Erreur dans le calcul,Difficile,"Bonne reponse, continue comme ca !"
85,Addition, 5 + 9 = ?,14,5,31,Confusion entre l'addition et la soustraction,Moyen,"Bonne reponse, continue comme ca !"
85,Soustraction, 7 - 3 =?,4,15,38,Mauvaise lecture de la question,Moyen,"Bonne reponse, continue comme ca !"
85,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,3,49,Confusion entre l'addition et la soustraction,Difficile,"Bonne reponse, continue comme ca !"
86,Addition, 5 + 9 = ?,14,2,55,Confusion entre l'addition et la soustraction,Difficile,"Bonne reponse, continue comme ca !"
86,Soustraction, 7 - 3 =?,4,3,47,Mauvaise lecture de la question,Moyen,"Bonne reponse, continue comme ca !"
86,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,7,40,Confusion entre l'addition et la soustraction,Difficile,"Bonne reponse, continue comme ca !"
87,Addition, 5 + 9 = ?,14,6,42,Confusion entre l'addition et la soustraction,Difficile,"Bonne reponse, continue comme ca !"
87,Soustraction, 7 - 3 =?,4,14,40,Mauvaise lecture de la question,Difficile,"Bonne reponse, continue comme ca !"
87,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,15,57,Erreur dans le calcul,Difficile,"Bonne reponse, continue comme ca !"
88,Addition, 5 + 9 = ?,14,3,32,Erreur dans le calcul,Facile,"Bonne reponse, continue comme ca !"
88,Soustraction, 7 - 3 =?,4,5,43,Mauvaise lecture de la question,Difficile,"Bonne reponse, continue comme ca !"
88,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,5,36,Erreur dans le calcul,Difficile,"Bonne reponse, continue comme ca !"
89,Addition, 5 + 9 = ?,14,13,56,Erreur dans le calcul,Facile,"Bonne reponse, continue comme ca !"
89,Soustraction, 7 - 3 =?,4,3,45,Erreur dans le calcul,Moyen,"Bonne reponse, continue comme ca !"
89,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,9,55,Confusion entre l'addition et la soustraction,Moyen,"Bonne reponse, continue comme ca !"
90,Addition, 5 + 9 = ?,14,2,31,Mauvaise lecture de la question,Moyen,"Bonne reponse, continue comme ca !"
90,Soustraction, 7 - 3 =?,4,3,39,Confusion entre l'addition et la soustraction,Difficile,"Bonne reponse, continue comme ca !"
90,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,4,34,Erreur dans le calcul,Moyen,"Bonne reponse, continue comme ca !"
91,Addition, 5 + 9 = ?,14,14,44,Erreur dans le calcul,Moyen,"Bonne reponse, continue comme ca !"
91,Soustraction, 7 - 3 =?,4,12,43,Erreur dans le calcul,Facile,"Bonne reponse, continue comme ca !"
91,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,3,30,Confusion entre l'addition et la soustraction,Difficile,"Bonne reponse, continue comme ca !"
92,Addition, 5 + 9 = ?,14,10,58,Erreur dans le calcul,Facile,"Bonne reponse, continue comme ca !"
92,Soustraction, 7 - 3 =?,4,5,45,Mauvaise lecture de la question,Moyen,"Bonne reponse, continue comme ca !"
92,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,11,59,Mauvaise lecture de la question,Facile,"Bonne reponse, continue comme ca !"
93,Addition, 5 + 9 = ?,14,5,51,Mauvaise lecture de la question,Moyen,"Bonne reponse, continue comme ca !"
93,Soustraction, 7 - 3 =?,4,9,42,Mauvaise lecture de la question,Difficile,"Bonne reponse, continue comme ca !"
93,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,8,60,Erreur dans le calcul,Facile,"Bonne reponse, continue comme ca !"
94,Addition, 5 + 9 = ?,14,2,40,Confusion entre l'addition et la soustraction,Moyen,"Bonne reponse, continue comme ca !"
94,Soustraction, 7 - 3 =?,4,13,45,Erreur dans le calcul,Moyen,"Bonne reponse, continue comme ca !"
94,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,4,45,Erreur dans le calcul,Facile,"Bonne reponse, continue comme ca !"
95,Addition, 5 + 9 = ?,14,15,53,Confusion entre l'addition et la soustraction,Difficile,"Bonne reponse, continue comme ca !"
95,Soustraction, 7 - 3 =?,4,1,42,Mauvaise lecture de la question,Facile,"Bonne reponse, continue comme ca !"
95,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,4,32,Erreur dans le calcul,Facile,"Bonne reponse, continue comme ca !"
96,Addition, 5 + 9 = ?,14,13,45,Mauvaise lecture de la question,Moyen,"Bonne reponse, continue comme ca !"
96,Soustraction, 7 - 3 =?,4,10,35,Mauvaise lecture de la question,Facile,"Bonne reponse, continue comme ca !"
96,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,1,38,Mauvaise lecture de la question,Difficile,"Bonne reponse, continue comme ca !"
97,Addition, 5 + 9 = ?,14,6,55,Mauvaise lecture de la question,Moyen,"Bonne reponse, continue comme ca !"
97,Soustraction, 7 - 3 =?,4,12,35,Confusion entre l'addition et la soustraction,Facile,"Bonne reponse, continue comme ca !"
97,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,8,31,Confusion entre l'addition et la soustraction,Moyen,"Bonne reponse, continue comme ca !"
98,Addition, 5 + 9 = ?,14,11,35,Mauvaise lecture de la question,Difficile,"Bonne reponse, continue comme ca !"
98,Soustraction, 7 - 3 =?,4,9,44,Mauvaise lecture de la question,Difficile,"Bonne reponse, continue comme ca !"
98,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,2,58,Confusion entre l'addition et la soustraction,Difficile,"Bonne reponse, continue comme ca !"
99,Addition, 5 + 9 = ?,14,5,54,Erreur dans le calcul,Difficile,"Bonne reponse, continue comme ca !"
99,Soustraction, 7 - 3 =?,4,6,54,Confusion entre l'addition et la soustraction,Facile,"Bonne reponse, continue comme ca !"
99,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,10,54,Erreur dans le calcul,Moyen,"Bonne reponse, continue comme ca !"
100,Addition, 5 + 9 = ?,14,7,57,Erreur dans le calcul,Difficile,"Bonne reponse, continue comme ca !"
100,Soustraction, 7 - 3 =?,4,5,58,Confusion entre l'addition et la soustraction,Facile,"Bonne reponse, continue comme ca !"
100,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,6,58,Confusion entre l'addition et la soustraction,Difficile,"Bonne reponse, continue comme ca !"
